,title,company,location,minimum salary,rating,urgent hiring,link
49,"Quantitative Investment Analytics, Sr. Analyst",Global Atlantic Financial Group,"New York, NY",TBD,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
50,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
51,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
52,Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
53,Bioinformatics Programmer,NYU Langone Health,"New York, NY",TBD,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
54,Data Science Instructor,MIM,"New York, NY",87000.0,,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
55,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
56,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
57,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
58,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
59,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
60,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
61,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
63,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
64,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
65,"Quantitative Investment Analytics, Sr. Analyst",Global Atlantic Financial Group,"New York, NY",TBD,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
66,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
67,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
68,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
69,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
70,Lead Data Strategist,Indeed,"New York, NY",104000.0,4.3,,https://www.indeed.com/viewjob?jk=e3e355bd6f8eb5e0
71,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
72,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
73,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
74,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
75,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
76,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
78,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
79,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
80,Python Developer,Direct Agents,"New York, NY",TBD,3.1,,https://www.indeed.com/viewjob?jk=e63e11330df31629
81,Junior Python Developer,GTS,"New York, NY",TBD,3.7,,https://www.indeed.com/viewjob?jk=f8f068da6dd93fa6
82,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
83,Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
